date,value
2026/2/28,28630
2026/1/31,28466
2025/12/31,28567
2025/11/30,28474
2025/10/31,28442
2025/9/30,28427
2025/8/31,27913
2025/7/31,27495
2025/6/30,27286
2025/5/31,27050
2025/4/30,26836
2025/3/31,26774
2025/2/28,26866
2025/1/31,26715
2024/12/31,26690
2024/11/30,26769
2024/10/31,26545
2024/9/30,26094
2024/8/31,26652
2024/7/31,26838
2024/6/30,26535
2024/5/31,26638
2024/4/30,26609
2024/3/31,26646
2024/2/29,26581
2024/1/31,26382
2023/12/31,26681
2023/11/30,26615
2023/10/31,26728
2023/9/30,27837
2023/8/31,27501
2023/7/31,27358
2023/6/30,28200
2023/5/31,28084
2023/4/30,28530
2023/3/31,28773
2023/2/28,28873
2023/1/31,28798
2022/12/31,28919
2022/11/30,28861
2022/10/31,29558
2022/9/30,29696
2022/8/31,29653
2022/7/31,28964
2022/6/30,28685
2022/5/31,28406
2022/4/30,28678
2022/3/31,28475
2022/2/28,28499
2022/1/31,28079
2021/12/31,27883
2021/11/30,27727
2021/10/31,27400
2021/9/30,27210
2021/8/31,26826
2021/7/31,26609
2021/6/30,26029
2021/5/31,25454
2021/4/30,25092
2021/3/31,25018
2021/2/28,24844
2021/1/31,25503
2020/12/31,25314
2020/11/30,25100
2020/10/31,24394
2020/9/30,24077
2020/8/31,24138
2020/7/31,23268
2020/6/30,22243
2020/5/31,24154
2020/4/30,30495
2020/3/31,28578
2020/2/29,27813
2020/1/31,28360
2019/12/31,29415
2019/11/30,29595
2019/10/31,29753
2019/9/30,28716
2019/8/31,29809
2019/7/31,29616
2019/6/30,29865
2019/5/31,29945
2019/4/30,30123
2019/3/31,30053
2019/2/28,30556
2019/1/31,30793
2018/12/31,31591
2018/11/30,32312
2018/10/31,32358
2018/9/30,32761
2018/8/31,32637
2018/7/31,32288
2018/6/30,32282
2018/5/31,32129
2018/4/30,32156
2018/3/31,31887
2018/2/28,32086
2018/1/31,32274
2017/12/31,32299
2017/11/30,32330
2017/10/31,32560
2017/9/30,32721
2017/8/31,32651
2017/7/31,32808
2017/6/30,32697
2017/5/31,32215
2017/4/30,31974
2017/3/31,31770
2017/2/28,32086
2017/1/31,32026
2016/12/31,33029
2016/11/30,33374
2016/10/31,32955
2016/9/30,33447
2016/8/31,33227
2016/7/31,33175
2016/6/30,33059
2016/5/31,32617
2016/4/30,32620
2016/3/31,32275
2016/2/29,32241
2016/1/31,32439
2015/12/31,32208
2015/11/30,32426
2015/10/31,32070
2015/9/30,31627
2015/8/31,31491
2015/7/31,31540
2015/6/30,31559
2015/5/31,31095
2015/4/30,30941
2015/3/31,30847
2015/2/28,29973
2015/1/31,30158
2014/12/31,30252
2014/11/30,30097
2014/10/31,30423
2014/9/30,30560
2014/8/31,30109
2014/7/31,30054
2014/6/30,29786
2014/5/31,29798
2014/4/30,29624
2014/3/31,29439
2014/2/28,30210
2014/1/31,29855
2013/12/31,29708
2013/11/30,29412
2013/10/31,29848
2013/9/30,29939
2013/8/31,30436
2013/7/31,30598
2013/6/30,30400
2013/5/31,30729
2013/4/30,30538
2013/3/31,30202
2013/2/28,30264
2013/1/31,30234
2012/12/31,30289
2012/11/30,30728
2012/10/31,30955
2012/9/30,30992
2012/8/31,31454
2012/7/31,31165
2012/6/30,31305
2012/5/31,31415
2012/4/30,31619
2012/3/31,31329
2012/2/29,31161
2012/1/31,30855
2011/12/31,30784
2011/11/30,30586
2011/10/31,29850
2011/9/30,29773
2011/8/31,30053
2011/7/31,29880
2011/6/30,29576
2011/5/31,29046
2011/4/30,28816
2011/3/31,28846
2011/2/28,29950
2011/1/31,30008
