date,value
2026/3/13,449259
2026/3/6,443103
2026/2/27,439279
2026/2/20,435804
2026/2/13,419815
2026/2/6,428829
2026/1/30,420299
2026/1/23,423754
2026/1/16,426049
2026/1/9,422447
2026/1/2,419056
2025/12/26,422888
2025/12/19,424822
2025/12/12,424417
2025/12/5,425691
2025/11/28,427503
2025/11/21,426929
2025/11/14,424155
2025/11/7,427581
2025/10/31,421168
2025/10/24,415966
2025/10/17,422824
2025/10/10,423785
2025/10/3,420261
2025/9/26,416546
2025/9/19,414754
2025/9/12,415361
2025/9/5,424646
2025/8/29,420707
2025/8/22,418292
2025/8/15,420684
2025/8/8,426698
2025/8/1,423662
2025/7/25,426691
2025/7/18,418993
2025/7/11,422162
2025/7/4,426021
2025/6/27,418951
2025/6/20,415106
2025/6/13,420942
2025/6/6,432415
2025/5/30,436059
2025/5/23,440363
2025/5/16,443158
2025/5/9,441830
2025/5/2,438376
2025/4/25,440408
2025/4/18,443104
2025/4/11,442860
2025/4/4,442345
2025/3/28,439792
2025/3/21,433627
2025/3/14,436968
2025/3/7,435223
2025/2/28,433775
2025/2/21,430161
2025/2/14,432493
2025/2/7,427860
2025/1/31,423790
2025/1/24,415126
2025/1/17,411663
2025/1/10,412680
2025/1/3,414642
2024/12/27,415601
2024/12/20,416779
2024/12/13,421016
2024/12/6,421950
2024/11/29,423375
2024/11/22,428448
2024/11/15,430292
2024/11/8,429747
2024/11/1,427658
2024/10/25,425509
2024/10/18,426024
2024/10/11,420550
2024/10/4,422741
2024/9/27,416931
2024/9/20,413042
2024/9/13,417513
2024/9/6,419143
2024/8/30,418310
2024/8/23,425183
2024/8/16,426029
2024/8/9,430678
2024/8/2,429321
2024/7/26,433049
2024/7/19,436485
2024/7/12,440226
2024/7/5,445096
2024/6/28,448539
2024/6/21,460696
2024/6/14,457105
2024/6/7,459652
2024/5/31,455922
2024/5/24,454689
2024/5/17,458845
2024/5/10,457020
2024/5/3,459528
2024/4/26,460890
2024/4/19,453625
2024/4/12,459993
2024/4/5,457258
2024/3/29,451417
2024/3/22,448207
2024/3/15,445042
2024/3/8,446994
2024/3/1,448530
2024/2/23,447163
2024/2/16,442964
2024/2/9,439450
2024/2/2,427432
2024/1/26,421912
2024/1/19,420678
2024/1/12,429911
2024/1/5,432403
2023/12/29,431065
2023/12/22,436568
2023/12/15,443682
2023/12/8,440773
2023/12/1,445031
2023/11/24,449664
2023/11/17,448054
2023/11/10,439354
2023/11/3,435762
2023/10/27,421893
2023/10/20,421120
2023/10/13,419748
2023/10/6,424239
2023/9/29,414063
2023/9/22,416287
2023/9/15,418456
2023/9/8,420592
2023/9/1,416637
2023/8/25,422944
2023/8/18,433528
2023/8/11,439662
2023/8/4,445622
2023/7/28,439771
2023/7/21,456820
2023/7/14,457420
2023/7/7,458128
2023/6/30,452182
2023/6/23,453690
2023/6/16,463293
2023/6/9,467124
2023/6/2,459205
2023/5/26,459657
2023/5/19,455168
