date,value
2026/3/20,26.78
2026/3/19,24.06
2026/3/18,25.09
2026/3/17,22.37
2026/3/16,23.51
2026/3/13,27.19
2026/3/12,27.29
2026/3/11,24.23
2026/3/10,24.93
2026/3/9,25.5
2026/3/6,29.49
2026/3/5,23.75
2026/3/4,21.15
2026/3/3,23.57
2026/3/2,21.44
2026/2/27,19.86
2026/2/26,18.63
2026/2/25,17.93
2026/2/24,19.55
2026/2/23,21.01
2026/2/20,19.09
2026/2/19,20.23
2026/2/18,19.62
2026/2/17,20.29
2026/2/16,21.2
2026/2/13,20.6
2026/2/12,20.82
2026/2/11,17.65
2026/2/10,17.79
2026/2/9,17.36
2026/2/6,17.76
2026/2/5,21.77
2026/2/4,18.64
2026/2/3,18
2026/2/2,16.34
2026/1/30,17.44
2026/1/29,16.88
2026/1/28,16.35
2026/1/27,16.35
2026/1/26,16.15
2026/1/23,16.09
2026/1/22,15.64
2026/1/21,16.9
2026/1/20,20.09
2026/1/19,18.84
2026/1/16,15.86
2026/1/15,15.84
2026/1/14,16.75
2026/1/13,15.98
2026/1/12,15.12
2026/1/9,14.49
2026/1/8,15.45
2026/1/7,15.38
2026/1/6,14.75
2026/1/5,14.9
2026/1/2,14.51
2025/12/31,14.95
2025/12/30,14.33
2025/12/29,14.2
2025/12/26,13.6
2025/12/24,13.47
2025/12/23,14
2025/12/22,14.08
2025/12/19,14.91
2025/12/18,16.87
2025/12/17,17.62
2025/12/16,16.48
2025/12/15,16.5
2025/12/12,15.74
2025/12/11,14.85
2025/12/10,15.77
2025/12/9,16.93
2025/12/8,16.66
2025/12/5,15.41
2025/12/4,15.78
2025/12/3,16.08
2025/12/2,16.59
2025/12/1,17.24
2025/11/28,16.35
2025/11/27,17.21
2025/11/26,17.19
2025/11/25,18.56
2025/11/24,20.52
2025/11/21,23.43
2025/11/20,26.42
2025/11/19,23.66
2025/11/18,24.69
2025/11/17,22.38
2025/11/14,19.83
2025/11/13,20
2025/11/12,17.51
2025/11/11,17.28
2025/11/10,17.6
2025/11/7,19.08
2025/11/6,19.5
2025/11/5,18.01
2025/11/4,19
2025/11/3,17.17
2025/10/31,17.44
2025/10/30,16.91
2025/10/29,16.92
2025/10/28,16.42
2025/10/27,15.79
2025/10/24,16.37
2025/10/23,17.3
2025/10/22,18.6
2025/10/21,17.87
2025/10/20,18.23
2025/10/17,20.78
2025/10/16,25.31
2025/10/15,20.64
2025/10/14,20.81
2025/10/13,19.03
2025/10/10,21.66
2025/10/9,16.43
2025/10/8,16.3
2025/10/7,17.24
2025/10/6,16.37
2025/10/3,16.65
2025/10/2,16.63
2025/10/1,16.29
2025/9/30,16.28
2025/9/29,16.12
2025/9/26,15.29
2025/9/25,16.74
2025/9/24,16.18
2025/9/23,16.64
2025/9/22,16.1
2025/9/19,15.45
2025/9/18,15.7
2025/9/17,15.72
2025/9/16,16.36
2025/9/15,15.69
2025/9/12,14.76
2025/9/11,14.71
2025/9/10,15.35
2025/9/9,15.04
2025/9/8,15.11
2025/9/5,15.18
2025/9/4,15.3
2025/9/3,16.35
2025/9/2,17.17
2025/9/1,16.12
2025/8/29,15.36
2025/8/28,14.43
2025/8/27,14.85
2025/8/26,14.62
2025/8/25,14.79
2025/8/22,14.22
2025/8/21,16.6
2025/8/20,15.69
2025/8/19,15.57
2025/8/18,14.99
2025/8/15,15.09
2025/8/14,14.83
2025/8/13,14.49
2025/8/12,14.73
2025/8/11,16.25
2025/8/8,15.15
2025/8/7,16.57
2025/8/6,16.77
2025/8/5,17.85
2025/8/4,17.52
2025/8/1,20.38
2025/7/31,16.72
2025/7/30,15.48
2025/7/29,15.98
2025/7/28,15.03
2025/7/25,14.93
2025/7/24,15.39
2025/7/23,15.37
2025/7/22,16.5
2025/7/21,16.65
2025/7/18,16.41
2025/7/17,16.52
2025/7/16,17.16
2025/7/15,17.38
2025/7/14,17.2
2025/7/11,16.4
2025/7/10,15.78
2025/7/9,15.94
2025/7/8,16.81
2025/7/7,17.79
2025/7/4,17.48
2025/7/3,16.38
2025/7/2,16.64
2025/7/1,16.83
2025/6/30,16.73
2025/6/27,16.32
2025/6/26,16.59
2025/6/25,16.76
2025/6/24,17.48
2025/6/23,19.83
2025/6/20,20.62
2025/6/19,22.17
2025/6/18,20.14
2025/6/17,21.6
2025/6/16,19.11
2025/6/13,20.82
2025/6/12,18.02
2025/6/11,17.26
2025/6/10,16.95
2025/6/9,17.16
2025/6/6,16.77
2025/6/5,18.48
2025/6/4,17.61
2025/6/3,17.69
2025/6/2,18.36
2025/5/30,18.57
2025/5/29,19.18
2025/5/28,19.31
2025/5/27,18.96
2025/5/26,20.57
2025/5/23,22.29
2025/5/22,20.28
2025/5/21,20.87
2025/5/20,18.09
2025/5/19,18.14
2025/5/16,17.24
2025/5/15,17.83
2025/5/14,18.62
2025/5/13,18.22
2025/5/12,18.39
2025/5/9,21.9
2025/5/8,22.48
2025/5/7,23.55
2025/5/6,24.76
2025/5/5,23.64
2025/5/2,22.68
2025/5/1,24.6
2025/4/30,24.7
2025/4/29,24.17
2025/4/28,25.15
2025/4/25,24.84
2025/4/24,26.47
2025/4/23,28.45
2025/4/22,30.57
2025/4/21,33.82
2025/4/17,29.65
2025/4/16,32.64
2025/4/15,30.12
2025/4/14,30.89
2025/4/11,37.56
2025/4/10,40.72
2025/4/9,33.62
2025/4/8,52.33
2025/4/7,46.98
2025/4/4,45.31
2025/4/3,30.02
2025/4/2,21.51
2025/4/1,21.77
2025/3/31,22.28
2025/3/28,21.65
2025/3/27,18.69
2025/3/26,18.33
2025/3/25,17.15
2025/3/24,17.48
2025/3/21,19.28
2025/3/20,19.8
2025/3/19,19.9
2025/3/18,21.7
2025/3/17,20.51
2025/3/14,21.77
2025/3/13,24.66
2025/3/12,24.23
2025/3/11,26.92
2025/3/10,27.86
2025/3/7,23.37
2025/3/6,24.87
2025/3/5,21.93
2025/3/4,23.51
2025/3/3,22.78
2025/2/28,19.63
2025/2/27,21.13
2025/2/26,19.1
2025/2/25,19.43
2025/2/24,18.98
2025/2/21,18.21
2025/2/20,15.66
2025/2/19,15.27
2025/2/18,15.35
2025/2/17,15.37
2025/2/14,14.77
2025/2/13,15.1
2025/2/12,15.89
2025/2/11,16.02
2025/2/10,15.81
2025/2/7,16.54
2025/2/6,15.5
2025/2/5,15.77
2025/2/4,17.21
2025/2/3,18.62
2025/1/31,16.43
2025/1/30,15.84
2025/1/29,16.56
2025/1/28,16.41
2025/1/27,17.9
2025/1/24,14.85
2025/1/23,15.02
2025/1/22,15.1
2025/1/21,15.06
2025/1/20,15.81
2025/1/17,15.97
2025/1/16,16.6
2025/1/15,16.12
2025/1/14,18.71
2025/1/13,19.19
2025/1/10,19.54
2025/1/9,18.07
2025/1/8,17.7
2025/1/7,17.82
2025/1/6,16.04
2025/1/3,16.13
2025/1/2,17.93
2024/12/31,17.35
2024/12/30,17.4
2024/12/27,15.95
2024/12/26,14.73
2024/12/24,14.27
2024/12/23,16.78
2024/12/20,18.36
2024/12/19,24.09
2024/12/18,27.62
2024/12/17,15.87
2024/12/16,14.69
2024/12/13,13.81
2024/12/12,13.92
2024/12/11,13.58
2024/12/10,14.18
2024/12/9,14.19
2024/12/6,12.77
2024/12/5,13.54
2024/12/4,13.45
2024/12/3,13.3
2024/12/2,13.34
2024/11/29,13.51
2024/11/28,13.9
2024/11/27,14.1
2024/11/26,14.1
2024/11/25,14.6
2024/11/22,15.24
2024/11/21,16.87
2024/11/20,17.16
2024/11/19,16.35
2024/11/18,15.58
2024/11/15,16.14
2024/11/14,14.31
2024/11/13,14.02
2024/11/12,14.71
2024/11/11,14.97
2024/11/8,14.94
2024/11/7,15.2
2024/11/6,16.27
2024/11/5,20.49
2024/11/4,21.98
2024/11/1,21.88
2024/10/31,23.16
2024/10/30,20.35
2024/10/29,19.34
2024/10/28,19.8
2024/10/25,20.33
2024/10/24,19.08
2024/10/23,19.24
2024/10/22,18.2
2024/10/21,18.37
2024/10/18,18.03
2024/10/17,19.11
2024/10/16,19.58
2024/10/15,20.64
2024/10/14,19.7
2024/10/11,20.46
2024/10/10,20.93
2024/10/9,20.86
2024/10/8,21.42
2024/10/7,22.64
2024/10/4,19.21
2024/10/3,20.49
2024/10/2,18.9
2024/10/1,19.26
2024/9/30,16.73
2024/9/27,16.96
2024/9/26,15.37
2024/9/25,15.41
2024/9/24,15.39
2024/9/23,15.89
2024/9/20,16.15
2024/9/19,16.33
2024/9/18,18.23
2024/9/17,17.61
2024/9/16,17.14
2024/9/13,16.56
2024/9/12,17.07
2024/9/11,17.69
2024/9/10,19.08
2024/9/9,19.45
2024/9/6,22.38
2024/9/5,19.9
2024/9/4,21.32
2024/9/3,20.72
2024/9/2,15.55
2024/8/30,15
2024/8/29,15.65
2024/8/28,17.11
2024/8/27,15.43
2024/8/26,16.15
2024/8/23,15.86
2024/8/22,17.55
2024/8/21,16.27
2024/8/20,15.88
2024/8/19,14.65
2024/8/16,14.8
2024/8/15,15.23
2024/8/14,16.19
2024/8/13,18.12
2024/8/12,20.71
2024/8/9,20.37
2024/8/8,23.79
2024/8/7,27.85
2024/8/6,27.71
2024/8/5,38.57
2024/8/2,23.39
2024/8/1,18.59
2024/7/31,16.36
2024/7/30,17.69
2024/7/29,16.6
2024/7/26,16.39
2024/7/25,18.46
2024/7/24,18.04
2024/7/23,14.72
2024/7/22,14.91
2024/7/19,16.52
2024/7/18,15.93
2024/7/17,14.48
2024/7/16,13.19
2024/7/15,13.12
2024/7/12,12.46
2024/7/11,12.92
2024/7/10,12.85
2024/7/9,12.51
2024/7/8,12.37
2024/7/5,12.48
2024/7/4,12.26
2024/7/3,12.09
2024/7/2,12.03
2024/7/1,12.22
2024/6/28,12.44
2024/6/27,12.24
2024/6/26,12.55
2024/6/25,12.84
2024/6/24,13.33
2024/6/21,13.2
2024/6/20,13.28
2024/6/19,12.48
2024/6/18,12.3
2024/6/17,12.75
2024/6/14,12.66
2024/6/13,11.94
2024/6/12,12.04
2024/6/11,12.85
2024/6/10,12.74
2024/6/7,12.22
2024/6/6,12.58
2024/6/5,12.63
2024/6/4,13.16
2024/6/3,13.11
2024/5/31,12.92
2024/5/30,14.47
2024/5/29,14.28
2024/5/28,12.92
2024/5/27,12.36
2024/5/24,11.93
2024/5/23,12.77
2024/5/22,12.29
2024/5/21,11.86
2024/5/20,12.15
2024/5/17,11.99
2024/5/16,12.42
2024/5/15,12.45
2024/5/14,13.42
2024/5/13,13.6
2024/5/10,12.55
2024/5/9,12.69
2024/5/8,13
2024/5/7,13.23
2024/5/6,13.49
2024/5/3,13.49
2024/5/2,14.68
2024/5/1,15.39
2024/4/30,15.65
2024/4/29,14.67
2024/4/26,15.03
2024/4/25,15.37
2024/4/24,15.97
2024/4/23,15.69
2024/4/22,16.94
2024/4/19,18.71
2024/4/18,18
2024/4/17,18.21
2024/4/16,18.4
2024/4/15,19.23
2024/4/12,17.31
2024/4/11,14.91
2024/4/10,15.8
2024/4/9,14.98
2024/4/8,15.19
2024/4/5,16.03
2024/4/4,16.35
2024/4/3,14.33
2024/4/2,14.61
2024/4/1,13.65
2024/3/28,13.01
2024/3/27,12.78
2024/3/26,13.24
2024/3/25,13.19
2024/3/22,13.06
2024/3/21,12.92
2024/3/20,13.04
2024/3/19,13.82
2024/3/18,14.33
2024/3/15,14.41
2024/3/14,14.4
2024/3/13,13.75
2024/3/12,13.84
2024/3/11,15.22
2024/3/8,14.74
2024/3/7,14.44
2024/3/6,14.5
2024/3/5,14.46
2024/3/4,13.49
2024/3/1,13.11
2024/2/29,13.4
2024/2/28,13.84
2024/2/27,13.43
2024/2/26,13.74
2024/2/23,13.75
2024/2/22,14.54
2024/2/21,15.34
2024/2/20,15.42
2024/2/19,14.71
2024/2/16,14.24
2024/2/15,14.01
2024/2/14,14.38
2024/2/13,15.85
2024/2/12,13.93
2024/2/9,12.93
2024/2/8,12.79
2024/2/7,12.83
2024/2/6,13.06
2024/2/5,13.67
2024/2/2,13.85
2024/2/1,13.88
2024/1/31,14.35
2024/1/30,13.31
2024/1/29,13.6
2024/1/26,13.26
2024/1/25,13.45
2024/1/24,13.14
2024/1/23,12.55
2024/1/22,13.19
2024/1/19,13.3
2024/1/18,14.13
2024/1/17,14.79
2024/1/16,13.84
2024/1/15,13.25
2024/1/12,12.7
2024/1/11,12.44
2024/1/10,12.69
2024/1/9,12.76
2024/1/8,13.08
2024/1/5,13.35
2024/1/4,14.13
2024/1/3,14.04
2024/1/2,13.2
2023/12/29,12.45
2023/12/28,12.47
2023/12/27,12.43
2023/12/26,12.99
2023/12/22,13.03
2023/12/21,13.65
2023/12/20,13.67
2023/12/19,12.53
2023/12/18,12.56
2023/12/15,12.28
2023/12/14,12.48
2023/12/13,12.19
2023/12/12,12.07
2023/12/11,12.63
2023/12/8,12.35
2023/12/7,13.06
2023/12/6,12.97
2023/12/5,12.85
2023/12/4,13.08
2023/12/1,12.63
2023/11/30,12.92
2023/11/29,12.98
2023/11/28,12.69
2023/11/27,12.69
2023/11/24,12.46
2023/11/23,12.8
2023/11/22,12.85
2023/11/21,13.35
2023/11/20,13.41
2023/11/17,13.8
2023/11/16,14.32
2023/11/15,14.18
2023/11/14,14.16
2023/11/13,14.76
2023/11/10,14.17
2023/11/9,15.29
2023/11/8,14.45
2023/11/7,14.81
2023/11/6,14.89
2023/11/3,14.91
2023/11/2,15.66
2023/11/1,16.87
2023/10/31,18.14
2023/10/30,19.75
2023/10/27,21.27
2023/10/26,20.68
